"","quantile_p","arm_type","replication","strategy","num_rounds","chosen_arm"
"443",0.1,"uniform",10,"QPAC BB",6400,0
"444",0.1,"uniform",10,"Doubled Max-Q",1204224,0
"445",0.1,"uniform",11,"LUCB BB",8241,0
"446",0.1,"uniform",11,"LUCB DKW",68047,0
"447",0.1,"uniform",11,"LUCB Stitched",12945,0
"448",0.1,"uniform",11,"QPAC",91660,0
"449",0.1,"uniform",11,"QPAC BB",10910,0
"450",0.1,"uniform",11,"Doubled Max-Q",1175552,0
"451",0.1,"uniform",12,"LUCB BB",7941,0
"452",0.1,"uniform",12,"LUCB DKW",68270,0
"453",0.1,"uniform",12,"LUCB Stitched",11187,0
"454",0.1,"uniform",12,"QPAC",98010,0
"455",0.1,"uniform",12,"QPAC BB",10260,0
"456",0.1,"uniform",12,"Doubled Max-Q",1175552,0
"457",0.1,"uniform",13,"LUCB BB",6905,0
"458",0.1,"uniform",13,"LUCB DKW",71765,0
"459",0.1,"uniform",13,"LUCB Stitched",9817,0
"460",0.1,"uniform",13,"QPAC",86250,0
"461",0.1,"uniform",13,"QPAC BB",9400,0
"462",0.1,"uniform",13,"Doubled Max-Q",1175552,0
"463",0.1,"uniform",14,"LUCB BB",7622,0
"464",0.1,"uniform",14,"LUCB DKW",78880,0
"465",0.1,"uniform",14,"LUCB Stitched",8981,0
"466",0.1,"uniform",14,"QPAC BB",10450,0
"467",0.1,"uniform",14,"QPAC",97570,0
"468",0.1,"uniform",14,"Doubled Max-Q",1204224,0
"469",0.1,"uniform",15,"LUCB BB",7479,0
"470",0.1,"uniform",15,"LUCB DKW",61397,0
"471",0.1,"uniform",15,"LUCB Stitched",11447,0
"472",0.1,"uniform",15,"QPAC BB",12850,0
"473",0.1,"uniform",15,"QPAC",99430,0
"474",0.1,"uniform",15,"Doubled Max-Q",1175552,0
"475",0.1,"uniform",16,"LUCB BB",7523,0
"476",0.1,"uniform",16,"LUCB DKW",68153,0
"477",0.1,"uniform",16,"LUCB Stitched",10031,0
"478",0.1,"uniform",16,"QPAC",98860,0
"479",0.1,"uniform",16,"QPAC BB",9830,0
"480",0.1,"uniform",16,"Doubled Max-Q",1175552,0
"481",0.1,"uniform",17,"LUCB BB",7431,0
